species;longitude;latitude;source
Asperula purpurea (L.) Ehrend.;8.95844888221832;45.9045199861182;infoflora
Asperula purpurea (L.) Ehrend.;9.01391602152852;46.0478469317822;infoflora
Asperula purpurea (L.) Ehrend.;8.95181294106974;45.9138855042711;infoflora
Asperula purpurea (L.) Ehrend.;8.95670716127569;45.9123529704795;infoflora
Asperula purpurea (L.) Ehrend.;8.99908654027312;46.0158880824358;infoflora
Asperula purpurea (L.) Ehrend.;8.98100536654579;46.0062133295165;infoflora
Asperula purpurea (L.) Ehrend.;8.98819743014886;46.0162454287957;infoflora
Asperula purpurea (L.) Ehrend.;8.98138722966614;46.0060191547694;infoflora
Asperula purpurea (L.) Ehrend.;8.94470564591389;45.9755478848351;infoflora
Asperula purpurea (L.) Ehrend.;9.00899671849592;46.0219134191849;infoflora
Asperula purpurea (L.) Ehrend.;8.98251598175999;46.0066694717012;infoflora
Asperula purpurea (L.) Ehrend.;9.0155145720813;46.0463759952377;infoflora
Asperula purpurea (L.) Ehrend.;9.00961612536781;46.0214459162649;infoflora
Asperula purpurea (L.) Ehrend.;8.98948999018884;46.0158317515406;infoflora
Asperula purpurea (L.) Ehrend.;9.02002324540357;45.866070982959;infoflora
Asperula purpurea (L.) Ehrend.;8.94971687797926;45.9822465109705;infoflora
Asperula purpurea (L.) Ehrend.;8.94918110594155;45.8806319589553;infoflora
Asperula purpurea (L.) Ehrend.;8.94696997994464;45.8826680083128;infoflora
Asperula purpurea (L.) Ehrend.;9.00066086529299;46.0117814920528;infoflora
Asperula purpurea (L.) Ehrend.;8.95133604846475;45.8933607072896;infoflora
Asperula purpurea (L.) Ehrend.;8.99165318702048;46.003340756507;infoflora
Asperula purpurea (L.) Ehrend.;8.98160476815446;45.9693616104412;infoflora
Asperula purpurea (L.) Ehrend.;8.94965311899704;45.9822743586288;infoflora
Asperula purpurea (L.) Ehrend.;8.94822292186351;45.9089674305448;infoflora
Asperula purpurea (L.) Ehrend.;8.93256801537101;45.8921273913351;infoflora
Asperula purpurea (L.) Ehrend.;8.94421196583038;45.9810517200631;infoflora
Asperula purpurea (L.) Ehrend.;8.94810642141146;45.9786063056919;infoflora
Asperula purpurea (L.) Ehrend.;8.95250322478571;45.982200056498;infoflora
Asperula purpurea (L.) Ehrend.;8.95227370207586;45.9818342626965;infoflora
Asperula purpurea (L.) Ehrend.;8.94751531729092;45.9094807689352;infoflora
Asperula purpurea (L.) Ehrend.;8.9337847149577;45.8918592869216;infoflora
Asperula purpurea (L.) Ehrend.;8.93510345647301;45.8915538218;infoflora
Asperula purpurea (L.) Ehrend.;8.93634976028509;45.8904845637783;infoflora
Asperula purpurea (L.) Ehrend.;8.94570300745545;45.8839086084458;infoflora
Asperula purpurea (L.) Ehrend.;8.93617123386593;45.9028038170037;infoflora
Asperula purpurea (L.) Ehrend.;8.94800041556085;45.8821953171143;infoflora
Asperula purpurea (L.) Ehrend.;8.93813867116969;45.9017069315222;infoflora
Asperula purpurea (L.) Ehrend.;8.94687909480549;45.8826422379829;infoflora
Asperula purpurea (L.) Ehrend.;8.95079941522566;45.912657556894;infoflora
Asperula purpurea (L.) Ehrend.;8.95016788071295;45.9135927489554;infoflora
Asperula purpurea (L.) Ehrend.;9.02276264299732;45.8695052598486;infoflora
Asperula purpurea (L.) Ehrend.;8.98642662168288;46.0175563932322;infoflora
Asperula purpurea (L.) Ehrend.;8.99735403323739;46.0153632512299;infoflora
Asperula purpurea (L.) Ehrend.;9.0560907848325;46.2297542443184;infoflora
Asperula purpurea (L.) Ehrend.;8.98662824013662;46.01965897403;infoflora
Asperula purpurea (L.) Ehrend.;9.05724763432101;46.2298546504622;infoflora
Asperula purpurea (L.) Ehrend.;8.95392896903298;45.9759008729337;infoflora
Asperula purpurea (L.) Ehrend.;8.94749960916907;45.9771929032584;infoflora
Asperula purpurea (L.) Ehrend.;9.01594884731777;46.0466488319546;infoflora
Asperula purpurea (L.) Ehrend.;9.00430270515445;46.0154017841107;infoflora
Asperula purpurea (L.) Ehrend.;8.94802107714076;45.9783195433333;infoflora
Asperula purpurea (L.) Ehrend.;8.88153429081003;45.9635731953523;infoflora
Asperula purpurea (L.) Ehrend.;8.94744974727669;45.9772565517407;infoflora
Asperula purpurea (L.) Ehrend.;8.95597642928785;45.9106354072895;infoflora
Asperula purpurea (L.) Ehrend.;8.94449777038153;45.9754966850765;infoflora
Asperula purpurea (L.) Ehrend.;8.94808557710857;45.9783186779401;infoflora
Asperula purpurea (L.) Ehrend.;8.94764324343794;45.9772539564325;infoflora
Asperula purpurea (L.) Ehrend.;8.951324658959;45.893414842765;infoflora
Asperula purpurea (L.) Ehrend.;8.95088637726882;45.9125394250545;infoflora
Asperula purpurea (L.) Ehrend.;8.94736614547811;45.9770327453634;infoflora
Asperula purpurea (L.) Ehrend.;8.99158993584826;46.0033866154122;infoflora
Asperula purpurea (L.) Ehrend.;8.94741749610542;45.977023059576;infoflora
Asperula purpurea (L.) Ehrend.;8.97951319660478;45.972062442024;infoflora
Asperula purpurea (L.) Ehrend.;8.99155224061717;46.0034231244442;infoflora
Asperula purpurea (L.) Ehrend.;8.9839582123225;46.0065327165198;infoflora
Asperula purpurea (L.) Ehrend.;8.98304642211159;46.0067071808298;infoflora
Asperula purpurea (L.) Ehrend.;9.00427869172564;46.015465098989;infoflora
Asperula purpurea (L.) Ehrend.;8.99345339464118;46.0089841622826;infoflora
Asperula purpurea (L.) Ehrend.;8.95141549247844;45.9811350331516;infoflora
Asperula purpurea (L.) Ehrend.;8.9474743060112;45.977211236838;infoflora
Asperula purpurea (L.) Ehrend.;9.0147487801571;46.045361018296;infoflora
Asperula purpurea (L.) Ehrend.;8.88521286484795;45.9621764008648;infoflora
Asperula purpurea (L.) Ehrend.;8.88038753135086;45.9606908860047;infoflora
Asperula purpurea (L.) Ehrend.;8.95903405154913;45.8921771283085;infoflora
Asperula purpurea (L.) Ehrend.;8.88703200431795;45.9616941440268;infoflora
Asperula purpurea (L.) Ehrend.;8.94543766058568;45.9763568182978;infoflora
Asperula purpurea (L.) Ehrend.;9.00113557189343;46.01212579707;infoflora
Asperula purpurea (L.) Ehrend.;8.90650993403094;45.9568081647882;infoflora
Asperula purpurea (L.) Ehrend.;8.98159136292381;45.9693437999822;infoflora
Asperula purpurea (L.) Ehrend.;9.01673182954101;46.0138246566435;infoflora
Asperula purpurea (L.) Ehrend.;8.98159187038;45.969361787368;infoflora
Asperula purpurea (L.) Ehrend.;8.9543898148355;45.9059333757827;infoflora
Asperula purpurea (L.) Ehrend.;9.01508782949244;46.0463639739316;infoflora
Asperula purpurea (L.) Ehrend.;9.01574653811608;46.046354752951;infoflora
Asperula purpurea (L.) Ehrend.;8.95446201940392;45.9085415431228;infoflora
Asperula purpurea (L.) Ehrend.;9.01536601221923;46.0479436097948;infoflora
Asperula purpurea (L.) Ehrend.;8.95187462723509;45.9109876266003;infoflora
Asperula purpurea (L.) Ehrend.;8.9543898148355;45.9059333757827;infoflora
Asperula purpurea (L.) Ehrend.;8.9539056573383;45.9093947696269;infoflora
Asperula purpurea (L.) Ehrend.;8.94838472967185;45.9096940157464;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99370163608547;46.0145320328542;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.94417400675334;45.9810792193323;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99755061491092;46.0045998162659;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.98537838663426;45.965467985889;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88503231556801;45.9621787229083;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88535543858365;45.9622015578743;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.94903732146242;45.9749319889101;infoflora
