taxa;x;y
Asperula purpurea (L.) Ehrend.;2715962;1083383
Asperula purpurea (L.) Ehrend.;2716676;1093284
Asperula purpurea (L.) Ehrend.;2716983;1093018
Asperula purpurea (L.) Ehrend.;2717316;1093424
Asperula purpurea (L.) Ehrend.;2717299;1093383
Asperula purpurea (L.) Ehrend.;2717085;1085334
Asperula purpurea (L.) Ehrend.;2716057;1083355
Asperula purpurea (L.) Ehrend.;2716160;1083323
Asperula purpurea (L.) Ehrend.;2716259;1083206
Asperula purpurea (L.) Ehrend.;2716999;1082489
Asperula purpurea (L.) Ehrend.;2716219;1084575
Asperula purpurea (L.) Ehrend.;2717181;1082302
Asperula purpurea (L.) Ehrend.;2716374;1084456
Asperula purpurea (L.) Ehrend.;2717093;1082350
Asperula purpurea (L.) Ehrend.;2717333;1085692
Asperula purpurea (L.) Ehrend.;2717282;1085795
Asperula purpurea (L.) Ehrend.;2723013;1081006
Asperula purpurea (L.) Ehrend.;2719867;1097405
Asperula purpurea (L.) Ehrend.;2720718;1097178
Asperula purpurea (L.) Ehrend.;2724775;1121098
Asperula purpurea (L.) Ehrend.;2719878;1097639
Asperula purpurea (L.) Ehrend.;2724864;1121111
Asperula purpurea (L.) Ehrend.;2717440;1092726
Asperula purpurea (L.) Ehrend.;2716939;1092860
Asperula purpurea (L.) Ehrend.;2722088;1100684
Asperula purpurea (L.) Ehrend.;2721256;1097193
Asperula purpurea (L.) Ehrend.;2716977;1092986
Asperula purpurea (L.) Ehrend.;2711855;1091250
Asperula purpurea (L.) Ehrend.;2716935;1092867
Asperula purpurea (L.) Ehrend.;2717739;1085475
Asperula purpurea (L.) Ehrend.;2716710;1092667
Asperula purpurea (L.) Ehrend.;2716982;1092986
Asperula purpurea (L.) Ehrend.;2716950;1092867
Asperula purpurea (L.) Ehrend.;2717415;1083554
Asperula purpurea (L.) Ehrend.;2717340;1085679
Asperula purpurea (L.) Ehrend.;2716929;1092842
Asperula purpurea (L.) Ehrend.;2720298;1095838
Asperula purpurea (L.) Ehrend.;2716933;1092841
Asperula purpurea (L.) Ehrend.;2719431;1092338
Asperula purpurea (L.) Ehrend.;2720295;1095842
Asperula purpurea (L.) Ehrend.;2719700;1096176
Asperula purpurea (L.) Ehrend.;2719629;1096194
Asperula purpurea (L.) Ehrend.;2721254;1097200
Asperula purpurea (L.) Ehrend.;2720430;1096463
Asperula purpurea (L.) Ehrend.;2717234;1093304
Asperula purpurea (L.) Ehrend.;2716937;1092862
Asperula purpurea (L.) Ehrend.;2721998;1100539
Asperula purpurea (L.) Ehrend.;2712143;1091100
Asperula purpurea (L.) Ehrend.;2711772;1090928
Asperula purpurea (L.) Ehrend.;2718016;1083428
Asperula purpurea (L.) Ehrend.;2712285;1091049
Asperula purpurea (L.) Ehrend.;2716781;1092764
Asperula purpurea (L.) Ehrend.;2721018;1096824
Asperula purpurea (L.) Ehrend.;2713805;1090534
Asperula purpurea (L.) Ehrend.;2719598;1092039
Asperula purpurea (L.) Ehrend.;2722222;1097037
Asperula purpurea (L.) Ehrend.;2719598;1092041
Asperula purpurea (L.) Ehrend.;2717626;1084950
Asperula purpurea (L.) Ehrend.;2722022;1100651
Asperula purpurea (L.) Ehrend.;2722073;1100651
Asperula purpurea (L.) Ehrend.;2717626;1085240
Asperula purpurea (L.) Ehrend.;2722040;1100827
Asperula purpurea (L.) Ehrend.;2717420;1085508
Asperula purpurea (L.) Ehrend.;2717626;1084950
Asperula purpurea (L.) Ehrend.;2717581;1085334
Asperula purpurea (L.) Ehrend.;2717152;1085359
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720437;1097080
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2716673;1093287
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720757;1095982
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2719900;1091614
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2712129;1091100
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2712154;1091103
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2717063;1092611
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2717150;1092624
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2717229;1093306
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722750;1080599
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2721541;1100684
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722039;1096920
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2713855;1090555
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722170;1101050
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2700900;1115115
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2711729;1090974
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720915;1096001
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2719891;1096221
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722823;1080650
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2711921;1091018
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2716972;1092987
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2712265;1091058
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2719539;1092133
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2711749;1090969
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722502;1088844
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720441;1097083
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2726662;1102659
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720119;1084830
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2712129;1091080
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2721564;1100661
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2721972;1100594
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720711;1095964
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2711748;1090970
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720711;1096640
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2712134;1091109
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722108;1087048
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722095;1086556
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2720303;1082338
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2700902;1115117
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722040;1100827
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722040;1100827
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;2722073;1100651
Chrysopogon gryllus (L.) Trin.;2700068;1115950
Chrysopogon gryllus (L.) Trin.;2714020;1090095
Chrysopogon gryllus (L.) Trin.;2720118;1130314
Chrysopogon gryllus (L.) Trin.;2700951;1115128
Chrysopogon gryllus (L.) Trin.;2700826;1115144
Chrysopogon gryllus (L.) Trin.;2703802;1112365
Chrysopogon gryllus (L.) Trin.;2721293;1097224
Chrysopogon gryllus (L.) Trin.;2700828;1115195
Chrysopogon gryllus (L.) Trin.;2700867;1115187
Chrysopogon gryllus (L.) Trin.;2700952;1115176
Chrysopogon gryllus (L.) Trin.;2708456;1115619
Chrysopogon gryllus (L.) Trin.;2720349;1097161
Chrysopogon gryllus (L.) Trin.;2720606;1096411
Chrysopogon gryllus (L.) Trin.;2700869;1115185
Chrysopogon gryllus (L.) Trin.;2700697;1119308
Chrysopogon gryllus (L.) Trin.;2700731;1119258
Chrysopogon gryllus (L.) Trin.;2719620;1116142
Chrysopogon gryllus (L.) Trin.;2700966;1115130
Chrysopogon gryllus (L.) Trin.;2692957;1113569
Chrysopogon gryllus (L.) Trin.;2725020;1121385
Chrysopogon gryllus (L.) Trin.;2701075;1116785
Chrysopogon gryllus (L.) Trin.;2720885;1096264
Chrysopogon gryllus (L.) Trin.;2712136;1091099
Chrysopogon gryllus (L.) Trin.;2718690;1081311
Chrysopogon gryllus (L.) Trin.;2700962;1115126
Chrysopogon gryllus (L.) Trin.;2712121;1091089
Chrysopogon gryllus (L.) Trin.;2711688;1090883
Chrysopogon gryllus (L.) Trin.;2701281;1118382
Chrysopogon gryllus (L.) Trin.;2724482;1120982
Chrysopogon gryllus (L.) Trin.;2692976;1113580
Chrysopogon gryllus (L.) Trin.;2700726;1119305
Chrysopogon gryllus (L.) Trin.;2685467;1128279
Chrysopogon gryllus (L.) Trin.;2699462;1116125
Chrysopogon gryllus (L.) Trin.;2712132;1091093
Chrysopogon gryllus (L.) Trin.;2692963;1113578
Chrysopogon gryllus (L.) Trin.;2721284;1097220
Chrysopogon gryllus (L.) Trin.;2700944;1115184
Chrysopogon gryllus (L.) Trin.;2717974;1083512
Chrysopogon gryllus (L.) Trin.;2701540;1112255
Chrysopogon gryllus (L.) Trin.;2714413;1086900
Chrysopogon gryllus (L.) Trin.;2717157;1085420
Chrysopogon gryllus (L.) Trin.;2713299;1115617
Chrysopogon gryllus (L.) Trin.;2720100;1096233
Chrysopogon gryllus (L.) Trin.;2699283;1115983
Chrysopogon gryllus (L.) Trin.;2699002;1115810
Chrysopogon gryllus (L.) Trin.;2699468;1116137
Chrysopogon gryllus (L.) Trin.;2700979;1115132
Chrysopogon gryllus (L.) Trin.;2700909;1115104
Chrysopogon gryllus (L.) Trin.;2699438;1116129
